tp,fp,fn,macro_precision,recall,f1,uri
1,10,0,0.09090909090909091,1.0,0.16666666666666669,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-33#char=0,537"
3,4,2,0.42857142857142855,0.6,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-17#char=0,334"
5,5,4,0.5,0.5555555555555556,0.5263157894736842,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-1#char=0,393"
0,17,0,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-31#char=0,435"
4,4,2,0.5,0.6666666666666666,0.5714285714285715,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-12#char=0,402"
10,3,3,0.7692307692307693,0.7692307692307693,0.7692307692307693,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-9#char=0,481"
1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-26#char=0,451"
2,6,1,0.25,0.6666666666666666,0.36363636363636365,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-34#char=0,454"
3,9,1,0.25,0.75,0.375,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-24#char=0,335"
1,7,3,0.125,0.25,0.16666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-5#char=0,358"
0,4,1,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-27#char=0,279"
2,9,3,0.18181818181818182,0.4,0.25000000000000006,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-30#char=0,320"
3,6,2,0.3333333333333333,0.6,0.42857142857142855,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-6#char=0,460"
5,8,1,0.38461538461538464,0.8333333333333334,0.5263157894736842,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-13#char=0,770"
2,4,1,0.3333333333333333,0.6666666666666666,0.4444444444444444,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-54#char=0,188"
5,18,2,0.21739130434782608,0.7142857142857143,0.3333333333333333,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-28#char=0,472"
5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666667,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-32#char=0,340"
1,11,1,0.08333333333333333,0.5,0.14285714285714285,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-8#char=0,485"
