tp,fp,fn,macro_precision,recall,f1,uri
0,0,3,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-27#char=0,279"
2,7,3,0.2222222222222222,0.4,0.2857142857142857,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-30#char=0,320"
4,0,2,1.0,0.6666666666666666,0.8,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-59#char=0,80"
1,7,0,0.125,1.0,0.2222222222222222,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-38#char=0,480"
2,2,2,0.5,0.5,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-37#char=0,248"
1,4,2,0.2,0.3333333333333333,0.25,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-9#char=0,530"
1,1,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-48#char=0,172"
0,3,0,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-25#char=0,341"
4,0,0,1.0,1.0,1.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-46#char=0,321"
5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-7#char=0,362"
2,6,0,0.25,1.0,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-35#char=0,373"
5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-5#char=0,455"
6,5,3,0.5454545454545454,0.6666666666666666,0.6,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-4#char=0,517"
4,5,4,0.4444444444444444,0.5,0.47058823529411764,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-29#char=0,433"
4,1,2,0.8,0.6666666666666666,0.7272727272727272,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-43#char=0,401"
1,1,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-49#char=0,253"
2,0,0,1.0,1.0,1.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-53#char=0,331"
10,1,0,0.9090909090909091,1.0,0.9523809523809523,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-51#char=0,470"
3,2,3,0.6,0.5,0.5454545454545454,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-50#char=0,340"
2,2,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-58#char=0,188"
3,1,0,0.75,1.0,0.8571428571428571,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-41#char=0,238"
5,9,1,0.35714285714285715,0.8333333333333334,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-52#char=0,874"
1,4,1,0.2,0.5,0.28571428571428575,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-39#char=0,284"
0,4,3,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-16#char=0,433"
4,1,1,0.8,0.8,0.8000000000000002,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-42#char=0,366"
3,2,1,0.6,0.75,0.6666666666666665,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-22#char=0,288"
1,2,1,0.3333333333333333,0.5,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-18#char=0,240"
5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-32#char=0,340"
7,7,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-56#char=0,636"
9,2,0,0.8181818181818182,1.0,0.9,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-10#char=0,715"
2,0,0,1.0,1.0,1.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-40#char=0,197"
1,0,0,1.0,1.0,1.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-55#char=0,240"
3,1,1,0.75,0.75,0.75,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-11#char=0,481"
5,0,0,1.0,1.0,1.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-15#char=0,234"
2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-17#char=0,334"
0,4,1,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-23#char=0,349"
0,0,0,1.0,1.0,1.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-47#char=0,273"
3,3,1,0.5,0.75,0.6,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-6#char=0,452"
4,1,0,0.8,1.0,0.888888888888889,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-44#char=0,223"
6,5,0,0.5454545454545454,1.0,0.7058823529411764,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-1#char=0,461"
3,1,0,0.75,1.0,0.8571428571428571,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-20#char=0,529"
3,5,2,0.375,0.6,0.4615384615384615,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-45#char=0,485"
1,8,0,0.1111111111111111,1.0,0.19999999999999998,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-33#char=0,537"
6,5,3,0.5454545454545454,0.6666666666666666,0.6,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-57#char=0,541"
1,3,2,0.25,0.3333333333333333,0.28571428571428575,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-34#char=0,454"
3,0,3,1.0,0.5,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-31#char=0,435"
1,6,0,0.14285714285714285,1.0,0.25,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-36#char=0,488"
