tp,fp,fn,precision,recall,f1,uri
4,2,4,0.6666666666666666,0.5,0.5714285714285715,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-3#char=0,409"
5,4,6,0.5555555555555556,0.45454545454545453,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-0#char=0,673"
4,2,1,0.6666666666666666,0.8,0.7272727272727272,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-22#char=0,288"
11,1,2,0.9166666666666666,0.8461538461538461,0.8799999999999999,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-47#char=0,470"
7,2,9,0.7777777777777778,0.4375,0.56,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-9#char=0,481"
0,0,3,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-43#char=0,273"
7,8,0,0.4666666666666667,1.0,0.6363636363636364,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-33#char=0,537"
4,4,2,0.5,0.6666666666666666,0.5714285714285715,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-8#char=0,485"
6,3,6,0.6666666666666666,0.5,0.5714285714285715,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-28#char=0,472"
2,0,1,1.0,0.6666666666666666,0.8,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-49#char=0,331"
7,3,2,0.7,0.7777777777777778,0.7368421052631577,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-12#char=0,402"
7,4,4,0.6363636363636364,0.6363636363636364,0.6363636363636364,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-1#char=0,393"
3,1,0,0.75,1.0,0.8571428571428571,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-20#char=0,529"
2,2,2,0.5,0.5,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-18#char=0,240"
10,5,2,0.6666666666666666,0.8333333333333334,0.7407407407407408,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-50#char=0,523"
5,1,3,0.8333333333333334,0.625,0.7142857142857143,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-14#char=0,544"
4,0,2,1.0,0.6666666666666666,0.8,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-55#char=0,80"
5,3,4,0.625,0.5555555555555556,0.5882352941176471,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-6#char=0,460"
3,0,6,1.0,0.3333333333333333,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-10#char=0,332"
5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-38#char=0,366"
5,0,1,1.0,0.8333333333333334,0.9090909090909091,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-15#char=0,234"
6,5,0,0.5454545454545454,1.0,0.7058823529411764,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-21#char=0,319"
9,4,6,0.6923076923076923,0.6,0.6428571428571429,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-53#char=0,541"
2,4,1,0.3333333333333333,0.6666666666666666,0.4444444444444444,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-27#char=0,279"
2,3,4,0.4,0.3333333333333333,0.3636363636363636,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-16#char=0,433"
2,1,3,0.6666666666666666,0.4,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-17#char=0,334"
1,0,0,1.0,1.0,1.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-51#char=0,240"
5,1,0,0.8333333333333334,1.0,0.9090909090909091,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-40#char=0,223"
3,1,2,0.75,0.6,0.6666666666666665,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-42#char=0,321"
14,9,2,0.6086956521739131,0.875,0.717948717948718,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-48#char=0,874"
5,1,4,0.8333333333333334,0.5555555555555556,0.6666666666666667,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-11#char=0,351"
3,2,1,0.6,0.75,0.6666666666666665,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-54#char=0,188"
5,6,0,0.45454545454545453,1.0,0.625,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-35#char=0,373"
3,3,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-25#char=0,341"
6,6,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-36#char=0,488"
4,2,6,0.6666666666666666,0.4,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-37#char=0,248"
2,2,3,0.5,0.4,0.4444444444444445,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-26#char=0,451"
3,0,3,1.0,0.5,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-31#char=0,435"
6,5,4,0.5454545454545454,0.6,0.5714285714285713,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-29#char=0,433"
7,7,5,0.5,0.5833333333333334,0.5384615384615384,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-13#char=0,770"
7,3,2,0.7,0.7777777777777778,0.7368421052631577,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-4#char=0,442"
5,7,3,0.4166666666666667,0.625,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-30#char=0,320"
2,1,2,0.6666666666666666,0.5,0.5714285714285715,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-44#char=0,172"
5,6,2,0.45454545454545453,0.7142857142857143,0.5555555555555556,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-24#char=0,335"
6,2,1,0.75,0.8571428571428571,0.7999999999999999,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-32#char=0,340"
8,1,4,0.8888888888888888,0.6666666666666666,0.761904761904762,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-7#char=0,456"
4,2,1,0.6666666666666666,0.8,0.7272727272727272,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-2#char=0,408"
2,1,3,0.6666666666666666,0.4,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-45#char=0,253"
3,3,2,0.5,0.6,0.5454545454545454,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-34#char=0,454"
4,4,1,0.5,0.8,0.6153846153846154,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-23#char=0,349"
4,4,1,0.5,0.8,0.6153846153846154,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-19#char=0,572"
4,3,6,0.5714285714285714,0.4,0.47058823529411764,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-5#char=0,358"
5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307692,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-39#char=0,401"
8,5,3,0.6153846153846154,0.7272727272727273,0.6666666666666667,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-41#char=0,485"
5,0,3,1.0,0.625,0.7692307692307693,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-46#char=0,340"
13,7,2,0.65,0.8666666666666667,0.7428571428571429,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-52#char=0,636"
